"pbc_id","client_pbc_name","reviewed_name","pbc_spec","pbc_kind","pbc_file_format","related_pbc_ids","iuc_or_system","cycle","source","notes","updated_at"
"PBC-EC-001","系統清單 (Server盤點清單)","系統清單 (Server盤點清單)","1. 含公司維護之所有系統，以及各系統的登入方式。
2. 請參考回填附檔「玩美移動_資訊循環樣本文件_Server盤點表」。",NA,NA,"","系統清單 (Server盤點清單)","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-002","系統關聯圖 Corporate Infrastructure Overview","系統關聯圖 Corporate Infrastructure Overview","與#1「系統清單 (Server盤點清單)」相關。",NA,NA,"PBC-EC-001","系統關聯圖 Corporate Infrastructure Overview","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-003","組職職掌表","組職職掌表","須包含資安相關單位在內。",NA,NA,"","組職職掌表","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-004","IT人員專業技能教育訓練計畫","IT人員專業技能教育訓練計畫","(若有)請提供線上修課畫面或實體課程通知。",NA,NA,"","IT人員專業技能教育訓練計畫","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-005","IT人員教育訓練相關測驗紀錄","IT人員教育訓練相關測驗紀錄","1. 與#4「IT人員專業技能教育訓練計畫」相關。
2. (若有)請提供人員受訓時數紀錄。",NA,NA,"PBC-EC-004","IT人員教育訓練相關測驗紀錄","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-006","IT人員之代理人制度","IT人員之代理人制度","1.與#3「組職職掌表」相關。
2.(若有)請檢附相關職能衝突討論或分析。",NA,NA,"PBC-EC-003","IT人員之代理人制度","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-007","IT人員代理人之代理工作教育訓練","IT人員代理人之代理工作教育訓練","與#6「IT人員之代理人制度」相關，若有請提供。",NA,NA,"PBC-EC-006","IT人員代理人之代理工作教育訓練","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-008","資訊部年度計劃","資訊部年度計劃","請檢附簽核紀錄。",NA,NA,"","資訊部年度計劃","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-009","IT委外項目列表","IT委外項目列表","1. 請檢附與外包服務供應商的合約，包括稽核權相關條款。
2. 須檢附「委外CyberLink」之相關IT合約、雲端服務(AWS)所有合約、機房委外管理合約等。",NA,NA,"","IT委外項目列表","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-010","IT委外供應商之SOC報告 (更新至2024年)","IT委外供應商之SOC報告 (更新至2024年)","1. 與#9「IT委外項目列表」相關。
2. 請檢附每家委外供應商(含AWS、機房管理)之SOC 1 (Type1, Type2)，若無則提供SOC 2。須更新至2024年版本。",NA,NA,"PBC-EC-009","IT委外供應商之SOC報告 (更新至2024年)","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
