類別,門檻,申報/通報時效,觸發作業,申報/通報對象,法源依據,母法
大額通貨交易 (CTR),50 萬元,交易完成後 5 個營業日內,通報,法務部調查局,"《金融機構申報大額通貨交易對象規定》
《洗錢防制法》第7條",《洗錢防制法》
出入境物品通報：洗錢之虞物品,50 萬元,海關按月彙整通報 ,通報,法務部調查局,《洗錢防制物品出入境申報及通報辦法》第 5 條,《洗錢防制法》
出入境物品通報：新臺幣現金,10 萬元,海關按月彙整通報 ,通報,法務部調查局,《洗錢防制物品出入境申報及通報辦法》第 5 條,《洗錢防制法》
境內匯款,3 萬元,無,留存匯款人／受款人資訊,無,《洗錢防制法》第7條,《洗錢防制法》
通匯業務臨時性交易且未建立關係,等值 3 萬元,無,留存匯款人／受款人資訊,無,《洗錢防制法》第7條,《洗錢防制法》
虛擬資產服務臨時性交易,等值 3 萬元,無,留存匯款人／受款人資訊,無,《提供虛擬資產服務之事業或人員防制洗錢及打擊資恐辦法》,《洗錢防制法》
出入境物品通報：黃金,2 萬元 (USD),海關按月彙整通報 ,通報,法務部調查局,《洗錢防制物品出入境申報及通報辦法》第 5 條,《洗錢防制法》
出入境物品通報：外幣（含港澳幣）,1 萬元 (USD),海關按月彙整通報 ,通報,法務部調查局,《洗錢防制物品出入境申報及通報辦法》第 5 條,《洗錢防制法》
出入境物品通報：有價證券,1 萬元 (USD),海關按月彙整通報 ,通報,法務部調查局,《洗錢防制物品出入境申報及通報辦法》第 5 條,《洗錢防制法》
目標性金融制裁 (TFS) 凍結通報,符合制裁名單,核定後不得逾二個營業日,通報,法務部調查局,《金融機構對經指定制裁對象之財物或財產上利益及所在地通報辦法》,《資恐防制法》
可疑交易申報 (STR),不限,自發現疑似洗錢交易之日起 2 個營業日內,通報,法務部調查局,"《金融機構防制洗錢辦法》第 15 條
《洗錢防制法》第8條",《洗錢防制法》
同業/調查局要求之快速回覆義務,不限,3 個營業日,,請求機構,《銀行業及其他經金融監督管理委員會指定之金融機構防制洗錢及打擊資恐內部控制與稽核制度實施辦法》,《洗錢防制法》
