條號/字號,項次,款次,完整前後文
第 077-25 條,I,,法院或審判長依法律規定，為當事人選任律師為特別代理人或訴訟代理人者，其律師之酬金由法院酌定之。
第 077-25 條,II,,前項律師酬金之數額，法院為終局裁判時，應併予酌定；訴訟不經裁判而終結者，法院應依聲請以裁定酌定之。
第 077-25 條,III,,對於酌定律師酬金數額之裁判，得為抗告，但不得再為抗告。
第 044-3 條,IV,,前項情形，被告之日費、旅費及委任律師為訴訟代理人之酬金，為訴訟費用之一部，其數額由法院酌定之；並準用第七十七條之二十四第二項、第七十七條之二十五第二項、第四項之規定。
第 417-1 條,I,,關於財產權爭議之調解，經兩造同意，得由調解委員酌定解決事件之調解條款。
第 417-1 條,II,,前項調解條款之酌定，除兩造另有約定外，以調解委員過半數定之。
第 417-1 條,III,,調解委員不能依前項規定酌定調解條款時，法官得於徵詢兩造同意後，酌定調解條款，或另定調解期日，或視為調解不成立。
第 417-1 條,IV,,調解委員酌定之調解條款，應作成書面，記明年月日，或由書記官記明於調解程序筆錄，由調解委員簽名後，送請法官審核；其經法官核定者，視為調解成立。
第 417-1 條,V,,法官酌定之調解條款，於書記官記明於調解程序筆錄時，視為調解成立。
第 535 條,I,,假處分所必要之方法，由法院以裁定酌定之。
第 561 條,,,持有證券人經申報權利並提出證券者，法院應通知聲請人，並酌定期間使其閱覽證券。
