col,col_2,民事訴訟 (Civil),刑事訴訟 (Criminal)
起訴,,起訴程式,
性質,裁定,"【民訴249-I】原告之訴，有下列各款情形之一，法院應以裁定駁回之但其情形可以補正者，審判長應定期間先命補正：
一、訴訟事件不屬普通法院之權限，不能依第三十一條之二第二項規定移送者
二、訴訟事件不屬受訴法院管轄而不能為第二十八條之裁定者
三、原告或被告無當事人能力者
四、原告或被告無訴訟能力，未由法定代理人合法代理者
五、由訴訟代理人起訴，而其代理權有欠缺者
六、起訴不合程式或不備其他要件者
七、起訴違背第三十一條之一第二項、第二百五十三條、第二百六十三條第二項之規定，或其訴訟標的為確定判決之效力所及者",
,判決,【民訴249-II】原告之訴，依其所訴之事實，在法律上顯無理由者，法院得不經言詞辯論，逕以判決駁回之,
一審 > 二審,,上訴二審,
性質,裁定,【民訴442-I】提起上訴，如逾上訴期間或係對於不得上訴之判決而上訴者，原第一審法院應以裁定駁回之,【刑訴362前段】原審法院認為上訴不合法律上之程式或法律上不應准許或其上訴權已經喪失者，應以裁定駁回之
,,【民訴444-I前段】上訴不合法者，第二審法院應以裁定駁回之,
,駁回,【民訴449-I】第二審法院認上訴為無理由者，應為駁回之判決,【刑訴367】第二審法院認為上訴書狀未敘述理由或上訴有第三百六十二條前段之情形者，應以判決駁回之
,廢棄或變更,【民訴450】第二審法院認上訴為有理由者，應於上訴聲明之範圍內，為廢棄或變更原判決之判決,
,僅針對理由駁回,【民訴444-1-V】當事人未依第一項提出上訴理由書或未依前項規定說明者，第二審法院得準用第四百四十七條之規定(駁回)，或於判決時依全辯論意旨斟酌之,
,,【民訴447-III】違反前二項之規定者，第二審法院應駁回之,
二審 > 三審,,上訴三審程式,
性質,"絕對事由
(當然違背法令)",依《民訴法》第 469 條：,依《刑訴法》第 379 條：
,,不論是否影響判決結果，一律視為違法：,毋庸證明與結果有因果關係，即構成上訴理由：
,,一、判決法院之組織不合法,一、法院之組織不合法者
,,二、依法律或裁判應迴避之法官參與裁判,二、依法律或裁判應迴避之法官參與審判者
,,三、法院於審判權之有無辨別不當或違背專屬管轄之規定但當事人未於事實審爭執，或法律別有規定者，不在此限,四、法院所認管轄之有無係不當者
,,四、當事人於訴訟未經合法代理,-
,,五、違背言詞辯論公開之規定,-
,,-,三、禁止審判公開非依法律之規定者
,,-,五、法院受理訴訟或不受理訴訟係不當者
,,-,六、除有特別規定外，被告未於審判期日到庭而逕行審判者
,,-,七、依本法應用辯護人之案件或已經指定辯護人之案件，辯護人未經到庭辯護而逕行審判者
,,-,八、除有特別規定外，未經檢察官或自訴人到庭陳述而為審判者
,,-,九、依本法應停止或更新審判而未經停止或更新者
,,-,十、依本法應於審判期日調查之證據而未予調查者
,,-,十一、未與被告以最後陳述之機會者
,,-,十二、除本法有特別規定外，已受請求之事項未予判決，或未受請求之事項予以判決者
,,-,十三、未經參與審理之法官參與判決者
,,六、判決不備理由或理由矛盾,十四、判決不載理由或所載理由矛盾者
,"相對事由
(非當然違背法令)",民事訴訟法（§468、§469-1）,刑事訴訟法（§377、§380）
,,"【民訴§468】判決不適用法規或適用不當，屬「違背法令」的基本概念
【民訴§469-1】非第469條之事由，須經許可","【刑訴§377】第三審以判決違背法令為限
【刑訴§380】程序雖違法，但若顯然於判決無影響，不得作為上訴理由"
,,第三審上訴中，非屬第469條「當然違背法令」者，須先取得第三審法院許可,第三審上訴原則上僅能以「判決違背法令」為理由
,,許可制：不是所有法律瑕疵都能直接進入第三審，必須先通過許可篩選,法定限制制：重點不在許可，而在是否屬判決違背法令，以及該瑕疵是否真的影響判決
,,以「法之續造、裁判一致性、法律見解具原則上重要性」為核心,以「違法程序是否顯然影響判決」為核心
,,不只是要有法律錯誤，還要能說服法院該爭點具有原則重要性，值得最高法院介入,只要程序違法對判決結果沒有顯然影響，就不能拿來當上訴理由
,,不具原則重要性者，即使有瑕疵，也可能被擋在第三審門外,屬於「無影響的程序違法」者，直接排除
