體系,條號,條項,決議事項,公司類型限制,董事會得不列為股東會議案,董事會＋臨時動議禁止,董事會＋特別決議,股東會＋臨時動議禁止,股東會＋特別決議,補充說明
公司法,13,,轉投資(投資總額超過實收股本40％時),,,,,,v,每次皆應開會
公司法,156 +172,+第5項,申請停止公開發行,公開發行,,,,v,v,
公司法,156-1,,將以發行之票面金額股全數轉換為無票面金額股,,,,,,v,
公司法,156-3,,股份交換：發行新股作為受讓他公司股份之對價,,,,v,,,
公司法,167-1 +172,+第5項,庫藏股買回,,,,v,v,,
公司法,167-2 +172,+第5項,員工獎酬工具：員工認股權憑證(契約),,,,v,v,,
公司法,168 +172,+第5項,減資,,,,,v,,限一般、現金減資
公司法,172,第5項,選任董事、監察人,,,,,v,,
公司法,172-1,第4項,非股東會所得決議事項,,v,,,,,"例外：股東提案係為敦促公司增進公共利益或善盡社會責任之建議
額外程序問題：
a.提案股東停止股票過戶時，持股未達1%
b.該議案於公告受理期間外提出
c.該議案超過三百字或有第一項但書提案超過一項之情事"
公司法,185 +172,"第1項
第4項
+第5項","重要營運決策
a.締結、變更或終止關於出租全部營業，委託經營或與他人經常共同經營之契約
b.讓與全部或主要部分之營業或財產
c.受讓他人全部營業或財產，對公司營運有重大影響",,,,"v
(僅提案權)",v,v,公開發行：出席股份不足1/2，1/2 > 2/3
公司法,199 +172,+第5項,解任董事、監察人,,,,,v,v,公開發行：出席股份不足1/2，1/2 > 2/3
公司法,202,,除本法或章程規定應由股東會決議之事項外,,,,,,,專屬於股東會能夠決定的事項，必須是「公司法」或「公司章程」有明定的重大事項，除此之外，其他的事項就是董事會決議的範圍
公司法,208,,選任董事長、副董事長,,,,v,,,
"公司法
證交","209 +172
26-1",+第5項,解除董事競業禁止限制,,,,,v,v,
"公司法
證交","228-1 +172
26-1",+第5項,盈餘分派：盈餘發放現金股利,,,,"v
(限公開發行)",v,,
公司法,235-1 +172,+第5項,員工獎酬工具：員工酬勞(股票/現金),,,,v,v,,
"公司法
證交","240 +172
26-1",+第5項,增資：盈餘轉增資(以股息及紅利發行新股),,,,v,v,v,發放股票股利
"公司法
證交","241 +172
26-1","第2項
+第5項",公積分派(法定盈餘/股票溢價/受贈所得)：發給現金,,,,準用,v,,
"公司法
證交","241 +172
26-1","第2項
+第5項",增資：公積轉增資(公積撥充資本),,,,v,v,v,發行新股形式
公司法,246,,募集公司債,,,,v,,,
公司法,248-1,,私募公司債,,,,v,,,
公司法,266,第2項,增資：發行新股(現金增資),,,,v,,,"a.「未保留由員工承購者」或「發行新股總數未超過已發行股份總數一定比例者」> 董事會普通決議
b.發行新股總數超過公司章程或法規上限或公司章程無規定 > 股東會普通決議
公開發行：限現金出資"
公司法,277 +172,+第5項,變更章程,,,,,v,v,公開發行：出席股份不足1/2，1/2 > 2/3
公司法,282,第2項,聲請公司重整,公開發行,,,v,,,
公司法,316 +172,+第5項,公司解散、合併、分割,,,,,v,v,
公司法,316-2,,簡易合併,,,,v,,,持有標的公司股份 > 90%
公司法,356-13,第1項,變更為非閉鎖性股份有限公司,閉鎖型,,,,,v,
公司法,356-14,第1項,變更為閉鎖性股份有限公司,,,,,,v,應經全體股東同意
公發董議,7,第1項,公司之營運計畫,公開發行,,v,,,,
公發董議,7,第1項,年度財務報告及半年度財務報告,公開發行,,v,,,,但半年度財務報告依法令規定無須經會計師查核簽證者，不在此限
公發董議,7,第1項,內部控制制度,公開發行,,v,,,,
公發董議,7,第1項,取得或處分資產、從事衍生性商品交易、資金貸與他人、為他人背書或提供保證之重大財務業務行為之處理程序,公開發行,,v,,,,
公發董議,7,第1項,募集、發行或私募具有股權性質之有價證券,公開發行,,v,,,v,
公發董議,7,第1項,董事長之選任或解任,公開發行,,v,,,,限董事會未設常務董事者
公發董議,7,第1項,財務、會計或內部稽核主管之任免,公開發行,,v,,,,
公發董議,7,第1項,對關係人之捐贈或對非關係人之重大捐贈,公開發行,,v,,,,但因重大天然災害所為急難救助之公益性質捐贈，得提下次董事會追認
公發董議,7,第1項,其它應被決議重大事項,公開發行,,v,,,,
證交,43-6,第1項,有價證券之私募,公開發行,,,,,v,
