定性,構成要件,準據法原則,涉外民事法律適用法,涉外民法細項,立法例/型態,重要性
人之權利能力,,當事人本國法,第09條,,,本國法主義
人之行為能力,預設,法律行為時本國法,第10條,第1項,,本國法主義
人之行為能力,當事人有多數國籍,關係最切國籍本國法,第10條,第2項,,本國法主義
人之行為能力,當事人無國籍,住所地法,第10條,第3項,,本國法主義
死亡宣告,中華民國有住所或居所,中華民國法律,第11條,,,法庭地法主義
監護或輔助宣告,中華民國有住所或居所,中華民國法律,第12條,,,
外國法人設立,,設立時法律之本國法,第13條,,,法人之設立準據法主義
外國法人之內部事項,預設,法人本國法 > 設立時法律之本國法,第14條 > 第13條,,,法人之設立準據法主義
外國法人之內部事項,中華民國設立之外國法人分支機構,中華民國法律,第15條,,,
法律行為方式,預設,"法律行為所應適用法 or
（行為地之方式）行為地法",第16條,前段,選擇適用,
法律行為方式,行為地不同,任一行為地法,第16條,後段,選擇適用,
代理權授與行為,預設,明示合意應適用法,第17條,前段,,
代理權授與行為,無明示之合意,與代理行為關係最切地法,第17條,後段,,
本人與相對人間法律關係,預設,明示合意應適用法,第18條,,,
本人與相對人間法律關係,無明示之合意,與代理行為關係最切地法,第18條,,,
相對人與代理人間法律關係,,”本人與相對人間法律關係”應適用法,第19條,,,
法律行為所生之債,預設,當事人意思定其應適用法,第20條,第1項,,
法律行為所生之債,當事人無明示/適用法無效,關係最切法,第20條,第2項,,
法律行為所生之債,不動產所為之法律行為,所在地法推定為關係最切法,第20條,第3項,,
票據成立及效力,預設,當事人意思定其應適用法,第21條,第1項 前段,,
票據成立及效力,當事人無明示/適用法無效,行為地法,第21條,第1項 後段,,
票據成立及效力,行為地不明者,付款地法,第21條,第2項,,
行使或保全票據權利,,行為地法,第21條,第3項,,
指示/無記名證券之法律行為,預設,行為地法,第22條,第1項,,
指示/無記名證券之法律行為,行為地不明者,付款地法,第22條,第2項,,
無因管理所生之債,,事務管理地法,第23條,,,
不當得利,不當利益之債,不當利益受領地法,第24條,前段,,
不當得利,給付造成不當得利,給付發生之法律關係所應適用法,第24條,後段,,
一般侵權行為,,"侵權行為地法 or
關係最切地法",第25條,,,
商品製造人侵權行為,預設,商品製造人本國法,第26條,,,
商品製造人侵權行為,"商品製造人事前同意 or
可預見該商品銷售且被害人選定應適用","損害發生地 or
被害人買受該商品地法 or
被害人本國法",第26條,但書,選擇適用,
不公平競爭,因不當競爭而受妨害者,市場所在地法,第27條,前段,,
不公平競爭,不當競爭因法律行為造成,有利被害人之法律行為所應適用法,第27條,後段,,
傳播侵權行為,,行為地法,第28條,第1項,選擇適用,
傳播侵權行為,行為地不明者,行為人之住所地法,第28條,第1項,選擇適用,
傳播侵權行為,行為人得遇見損害發生地者,損害發生地法,第28條,第1項,選擇適用,
傳播侵權行為,被害人之人格權被侵害者,被害人本國法,第28條,第1項,選擇適用,
傳播侵權行為,以侵權行為方法為營業者,營業地法,第28條,第2項,,
對責任保險人之直接請求權,,保險契約所應適用法,第29條,,,
其它法律事實所生之債,,事實發生地法,第30條,,,
非因法律行為而生之債,當事人合意適用中華民國法者,中華民國法律,第31條,,,
債權讓與,對債務人效力,原債權之成立及效力所應適用法,第32條,,,
債權讓與,對擔保第三方效力,擔保權之成立及效力所應適用法,第32條,,,
債務承擔,對債權人效力,原債權之成立及效力所應適用法,第33條,,,
債務承擔,對擔保第三方效力,擔保權之成立及效力所應適用法,第33條,,,
第三人清償,第三人對債務人求償,特定法律關係所應適用法,第34條,,,
連帶債務,,債務人間法律關係所應適用法,第35條,,,
請求權之消滅時效,,請求權而生法律關係所應適用法,第36條,,,
債之消滅,,原債權之成立及效力所應適用法,第37條,,,
一般物權,預設,物之所在地法,第38條,第1項,,x
一般物權,以權利為標的之物權,權利之成立地法,第38條,第2項,,
一般物權,物之所在地變更造成物權變更,原因事實完成時物之所在地法,第38條,第3項,,
一般物權,船舶物權,船籍國法,第38條,第4項 前段,,
一般物權,航空器物權,登記國法,第38條,第4項 後段,,
婚約成立,婚約實質要件,各該當事人之本國法,第45條、第46條,第1項,併行適用,
婚約成立,婚約形式要件,"當事人一方之本國法 or
舉行地法",第46條,但書,選擇適用,
結婚方式,結婚形式要件,"當事人一方之本國法 or
舉行地法",第45條,第1項 但書,選擇適用,
婚姻效力,預設,夫妻共同本國法,第47條,前段,,
婚姻效力,夫妻無共同本國法,夫妻共同住所地法,第47條,中段,,
婚姻效力,夫妻無共同住所地法,夫妻關係最適切地法,第47條,後段,,
夫妻財產制,預設,"書面合意適用其一方之本國法 or
住所地法",第48條,第1項,選擇適用,
夫妻財產制,夫妻無合意或其合意法律無效,夫妻共同本國法,第48條,第2項 前段,,
夫妻財產制,夫妻無共同本國法,夫妻共同住所地法,第48條,第2項 中段,,
夫妻財產制,夫妻無共同住所地法,夫妻婚姻關係最切地法,第48條,第2項 後段,,
夫妻財產制,不動產,不動產所在地法,第48條,第3項,,
離婚及效力,預設,協議/起訴時夫妻共同本國法,第50條,,,
離婚及效力,夫妻無共同本國法,夫妻共同住所地法,第50條,,,
離婚及效力,夫妻無共同住所地法,夫妻婚姻關係最切地法,第50條,,,
婚生子女,,"出生時該子女 or
其母本國法 or
其母之夫之本國法",第51條,,選擇適用,
非婚生子女認領成立及效力,預設,"認領/起訴時認領人 or
被認領人之本國法成立",第53條,第1項,選擇適用,
非婚生子女認領成立及效力,被認領人爲胎兒,胎兒母本國法,第53條,第2項,,
收養之成立及終止,,各該收養者/被收養者之本國法,第54條,第2項,併行適用,
繼承,,被繼承人死時本國法,第58條,,,
遺囑成立及效力,,成立時遺囑人本國法,第60條,第1項,,
遺囑撤回之方式,,"遺囑之訂立地法 or
遺囑人死亡時住所地法 or
（有關不動產者）不動產所在地法",第61條,,選擇適用,
物權行為方式,,物權所應適用法,第39條,,,
自外國輸入之動產,,中華民國法律,第40條,,,
托運中動產之物權,,目的地法,第41條,,,
智慧財產權,以智慧財產權為標的,權利應受保護地法,第42條,第1項,,
