序號,頁籤,位置,問題類型,依據（全國法規資料庫）,原內容摘要,校正後摘要,說明
1,上訴程式與限制,R3C3,已紅字校正,MOJ ChLaw.json 2026/7/24 上午 12:00:00,"【民訴249-I】原告之訴，有下列各款情形之一，法院應以裁定駁回之但其情形可以補正者，審判長應定期間先命補正：
一、訴訟事件不屬普通法院之權限，不能依第三十一條之二第二項規定移送者
二、訴訟事件不屬受訴法院管轄而不能為第二十八條之裁定者
三、原告或被告無當事人能力者
四、原告或被告無訴訟能力，未由法定代理人合法代理者
五、由訴訟代理人起訴，而其代理權有欠缺者","【民訴249-I｜已依全國法規資料庫校正】原告之訴，有下列各款情形之一者，法院應以裁定駁回之。但其情形可以補正者，審判長應定期間先命補正：
一、訴訟事件不屬普通法院之審判權，不能依法移送。
二、訴訟事件不屬受訴法院管轄而不能為第二十八條之裁定。
三、原告或被告無當事人能力。
四、原告或被告無訴訟能力，未由法定代理人合法代理。
五、由訴訟代理人起訴，而其代理權",民訴§249第1項已修正：權限→審判權；第7款改寫；新增第8款（惡意濫訴）
2,上訴程式與限制,R4C3,已紅字校正,MOJ ChLaw.json 2026/7/24 上午 12:00:00,【民訴249-II】原告之訴，依其所訴之事實，在法律上顯無理由者，法院得不經言詞辯論，逕以判決駁回之,"【民訴249-II｜已依全國法規資料庫校正】原告之訴，有下列各款情形之一者，法院得不經言詞辯論，逕以判決駁回之。但其情形可以補正者，審判長應定期間先命補正：
一、當事人不適格或欠缺權利保護必要。
二、依其所訴之事實，在法律上顯無理由。
【民訴249-III｜補列】前二項情形，原告之訴因逾期未補正經裁判駁回後，不得再為補正。",民訴§249第2項已擴張為兩款（當事人不適格/權利保護必要、法律上顯無理由），並補列第3項逾期未補正效果
3,上訴程式與限制,R11C3,已紅字校正,MOJ ChLaw.json 2026/7/24 上午 12:00:00,【民訴444-1-V】當事人未依第一項提出上訴理由書或未依前項規定說明者，第二審法院得準用第四百四十七條之規定(駁回)，或於判決時依全辯論意旨斟酌之,【民訴444-1-V｜用語校正】當事人未依第一項提出上訴理由書或未依前項規定說明者，第二審法院得準用第四百四十七條之規定，或於判決時依全辯論意旨斟酌之。,刪除自行括註「(駁回)」以避免誤解準用效果；回復現行條文用語
4,上訴程式與限制,R34C3,已紅字校正,MOJ ChLaw.json 2026/7/24 上午 12:00:00,"【民訴§468】判決不適用法規或適用不當，屬「違背法令」的基本概念
【民訴§469-1】非第469條之事由，須經許可","【民訴§468｜校正】判決不適用法規或適用不當者，為違背法令。
【民訴§469-1｜校正】以前條所列各款外之事由提起第三審上訴者，須經第三審法院之許可；許可以從事法之續造、確保裁判之一致性或其他所涉及之法律見解具有原則上重要性者為限。",改為現行條文用語，避免意譯失真
5,上訴程式與限制,R34C4,已紅字校正,MOJ ChLaw.json 2026/7/24 上午 12:00:00,"【刑訴§377】第三審以判決違背法令為限
【刑訴§380】程序雖違法，但若顯然於判決無影響，不得作為上訴理由","【刑訴§377｜校正】上訴於第三審法院，非以判決違背法令為理由，不得為之。
【刑訴§380｜校正】除前條情形外，訴訟程序雖係違背法令而顯然於判決無影響者，不得為上訴之理由。",改為現行條文用語，避免意譯失真
6,"""酌定""系列",整表結構,已紅字校正,MOJ ChLaw.json 2026/7/24 上午 12:00:00,含§417-1、§44-3IV、§77-25項次錯置,改為§415-1、§249-1 II、§77-25 I~IV,條號誤植與項次錯置；§417-1現行不存在（正確為§415-1）；§44-3IV內容實為§249-1 II
7,"""依職權""系列",R15C2,已紅字校正,MOJ ChLaw.json 2026/7/24 上午 12:00:00,II,III,民訴§149項次校正：原II實為第III項（第II項為抗告規定）
8,"""依職權""系列",R15C4,已紅字校正,MOJ ChLaw.json 2026/7/24 上午 12:00:00,第一項所列各款情形...受訴法院為避免訴訟遲延認有必要時，得依職權命為公示送達。,【校正｜項次II→III】二、於有治外法權人之住居所或事務所為送達而無效者。,同步置換為現行條文
9,"""依職權""系列",R16C2,已紅字校正,MOJ ChLaw.json 2026/7/24 上午 12:00:00,III,IV,民訴§149項次校正：原III實為第IV項（第II項為抗告規定）
10,"""依職權""系列",R16C4,已紅字校正,MOJ ChLaw.json 2026/7/24 上午 12:00:00,原告或曾受送達之被告變更其送達之處所...受訴法院得依職權，命為公示送達。,【校正｜項次III→IV】三、於外國為送達，不能依第一百四十五條之規定辦理，或預知雖依該條規定辦理而無效者。,同步置換為現行條文
